countrycode,countryname,region,regionname,incomelevel,incomelevelname,lendingtype,lendingtypename
MWI,Malawi,SSF,Sub-Saharan Africa,LIC,Low income,IDX,IDA
MYS,Malaysia,EAS,East Asia and Pacific,UMC,Upper middle income,IBD,IBRD
MDV,Maldives,SAS,South Asia,UMC,Upper middle income,IDX,IDA
MLI,Mali,SSF,Sub-Saharan Africa,LIC,Low income,IDX,IDA
MLT,Malta,MEA,Middle East and North Africa,HIC,High income,LNX,Not classified
MHL,Marshall Islands,EAS,East Asia and Pacific,UMC,Upper middle income,IDX,IDA
MRT,Mauritania,SSF,Sub-Saharan Africa,LMC,Lower middle income,IDX,IDA
MUS,Mauritius,SSF,Sub-Saharan Africa,HIC,High income,IBD,IBRD
MEX,Mexico,LCN,Latin America and Caribbean,UMC,Upper middle income,IBD,IBRD
FSM,"Micronesia, Fed Sts",EAS,East Asia and Pacific,LMC,Lower middle income,IDX,IDA
MDA,Moldova,ECS,Europe and Central Asia,LMC,Lower middle income,IBD,IBRD
MCO,Monaco,ECS,Europe and Central Asia,HIC,High income,LNX,Not classified
MNG,Mongolia,EAS,East Asia and Pacific,LMC,Lower middle income,IBD,IBRD
MNE,Montenegro,ECS,Europe and Central Asia,UMC,Upper middle income,IBD,IBRD
MAR,Morocco,MEA,Middle East and North Africa,LMC,Lower middle income,IBD,IBRD
MOZ,Mozambique,SSF,Sub-Saharan Africa,LIC,Low income,IDX,IDA
MMR,Myanmar,EAS,East Asia and Pacific,LMC,Lower middle income,IDX,IDA
NAM,Namibia,SSF,Sub-Saharan Africa,UMC,Upper middle income,IBD,IBRD
NRU,Nauru,EAS,East Asia and Pacific,HIC,High income,IBD,IBRD
NPL,Nepal,SAS,South Asia,LMC,Lower middle income,IDX,IDA
NLD,Netherlands,ECS,Europe and Central Asia,HIC,High income,LNX,Not classified
NCL,New Caledonia,EAS,East Asia and Pacific,HIC,High income,LNX,Not classified
NZL,New Zealand,EAS,East Asia and Pacific,HIC,High income,LNX,Not classified
NIC,Nicaragua,LCN,Latin America and Caribbean,LMC,Lower middle income,IDX,IDA
NER,Niger,SSF,Sub-Saharan Africa,LIC,Low income,IDX,IDA
NGA,Nigeria,SSF,Sub-Saharan Africa,LMC,Lower middle income,IDB,Blend
MKD,North Macedonia,ECS,Europe and Central Asia,UMC,Upper middle income,IBD,IBRD
MNP,Northern Mariana Islands,EAS,East Asia and Pacific,HIC,High income,LNX,Not classified
NOR,Norway,ECS,Europe and Central Asia,HIC,High income,LNX,Not classified
OMN,Oman,MEA,Middle East and North Africa,HIC,High income,LNX,Not classified
PAK,Pakistan,SAS,South Asia,LMC,Lower middle income,IDB,Blend
PLW,Palau,EAS,East Asia and Pacific,HIC,High income,IBD,IBRD
PAN,Panama,LCN,Latin America and Caribbean,HIC,High income,IBD,IBRD
PNG,Papua New Guinea,EAS,East Asia and Pacific,LMC,Lower middle income,IDB,Blend
PRY,Paraguay,LCN,Latin America and Caribbean,UMC,Upper middle income,IBD,IBRD
PER,Peru,LCN,Latin America and Caribbean,UMC,Upper middle income,IBD,IBRD
PHL,Philippines,EAS,East Asia and Pacific,LMC,Lower middle income,IBD,IBRD
POL,Poland,ECS,Europe and Central Asia,HIC,High income,IBD,IBRD
PRT,Portugal,ECS,Europe and Central Asia,HIC,High income,LNX,Not classified
PRI,Puerto Rico,LCN,Latin America and Caribbean,HIC,High income,LNX,Not classified
QAT,Qatar,MEA,Middle East and North Africa,HIC,High income,LNX,Not classified
ROU,Romania,ECS,Europe and Central Asia,HIC,High income,IBD,IBRD
RUS,Russian Federation,ECS,Europe and Central Asia,UMC,Upper middle income,IBD,IBRD
RWA,Rwanda,SSF,Sub-Saharan Africa,LIC,Low income,IDX,IDA
WSM,Samoa,EAS,East Asia and Pacific,UMC,Upper middle income,IDX,IDA
SMR,San Marino,ECS,Europe and Central Asia,HIC,High income,LNX,Not classified
STP,Sao Tome and Principe,SSF,Sub-Saharan Africa,LMC,Lower middle income,IDX,IDA
SAU,Saudi Arabia,MEA,Middle East and North Africa,HIC,High income,LNX,Not classified
SEN,Senegal,SSF,Sub-Saharan Africa,LMC,Lower middle income,IDX,IDA
SRB,Serbia,ECS,Europe and Central Asia,UMC,Upper middle income,IBD,IBRD
SYC,Seychelles,SSF,Sub-Saharan Africa,HIC,High income,IBD,IBRD
SLE,Sierra Leone,SSF,Sub-Saharan Africa,LIC,Low income,IDX,IDA
SGP,Singapore,EAS,East Asia and Pacific,HIC,High income,LNX,Not classified
SXM,Sint Maarten (Dutch part),LCN,Latin America and Caribbean,HIC,High income,LNX,Not classified
SVK,Slovak Republic,ECS,Europe and Central Asia,HIC,High income,LNX,Not classified
SVN,Slovenia,ECS,Europe and Central Asia,HIC,High income,LNX,Not classified
SLB,Solomon Islands,EAS,East Asia and Pacific,LMC,Lower middle income,IDX,IDA
SOM,Somalia,SSF,Sub-Saharan Africa,LIC,Low income,IDX,IDA
ZAF,South Africa,SSF,Sub-Saharan Africa,UMC,Upper middle income,IBD,IBRD
SSD,South Sudan,SSF,Sub-Saharan Africa,LIC,Low income,IDX,IDA
ESP,Spain,ECS,Europe and Central Asia,HIC,High income,LNX,Not classified
LKA,Sri Lanka,SAS,South Asia,LMC,Lower middle income,IBD,IBRD
KNA,St Kitts and Nevis,LCN,Latin America and Caribbean,HIC,High income,IBD,IBRD
LCA,St Lucia,LCN,Latin America and Caribbean,UMC,Upper middle income,IDB,Blend
MAF,St Martin (French part),LCN,Latin America and Caribbean,HIC,High income,LNX,Not classified
VCT,St Vincent and the Grenadines,LCN,Latin America and Caribbean,UMC,Upper middle income,IDB,Blend
SDN,Sudan,SSF,Sub-Saharan Africa,LIC,Low income,IDX,IDA
SUR,Suriname,LCN,Latin America and Caribbean,UMC,Upper middle income,IBD,IBRD
SWE,Sweden,ECS,Europe and Central Asia,HIC,High income,LNX,Not classified
CHE,Switzerland,ECS,Europe and Central Asia,HIC,High income,LNX,Not classified
SYR,Syrian Arab Republic,MEA,Middle East and North Africa,LIC,Low income,IDX,IDA
TJK,Tajikistan,ECS,Europe and Central Asia,LIC,Low income,IDX,IDA
TZA,Tanzania,SSF,Sub-Saharan Africa,LMC,Lower middle income,IDX,IDA
THA,Thailand,EAS,East Asia and Pacific,UMC,Upper middle income,IBD,IBRD
TLS,Timor-Leste,EAS,East Asia and Pacific,LMC,Lower middle income,IDB,Blend
TGO,Togo,SSF,Sub-Saharan Africa,LIC,Low income,IDX,IDA
TON,Tonga,EAS,East Asia and Pacific,UMC,Upper middle income,IDX,IDA
TTO,Trinidad and Tobago,LCN,Latin America and Caribbean,HIC,High income,IBD,IBRD
TUN,Tunisia,MEA,Middle East and North Africa,LMC,Lower middle income,IBD,IBRD
TUR,Turkey,ECS,Europe and Central Asia,UMC,Upper middle income,IBD,IBRD
TKM,Turkmenistan,ECS,Europe and Central Asia,UMC,Upper middle income,IBD,IBRD
TCA,Turks and Caicos Islands,LCN,Latin America and Caribbean,HIC,High income,LNX,Not classified
TUV,Tuvalu,EAS,East Asia and Pacific,UMC,Upper middle income,IDX,IDA
UGA,Uganda,SSF,Sub-Saharan Africa,LIC,Low income,IDX,IDA
UKR,Ukraine,ECS,Europe and Central Asia,LMC,Lower middle income,IBD,IBRD
ARE,United Arab Emirates,MEA,Middle East and North Africa,HIC,High income,LNX,Not classified
GBR,United Kingdom,ECS,Europe and Central Asia,HIC,High income,LNX,Not classified
USA,United States,NAC,North America,HIC,High income,LNX,Not classified
URY,Uruguay,LCN,Latin America and Caribbean,HIC,High income,IBD,IBRD
UZB,Uzbekistan,ECS,Europe and Central Asia,LMC,Lower middle income,IDB,Blend
VUT,Vanuatu,EAS,East Asia and Pacific,LMC,Lower middle income,IDX,IDA
VEN,"Venezuela, RB",LCN,Latin America and Caribbean,UMC,Upper middle income,IBD,IBRD
VNM,Vietnam,EAS,East Asia and Pacific,LMC,Lower middle income,IBD,IBRD
VIR,Virgin Islands (US),LCN,Latin America and Caribbean,HIC,High income,LNX,Not classified
PSE,West Bank and Gaza,MEA,Middle East and North Africa,LMC,Lower middle income,LNX,Not classified
YEM,"Yemen, Rep",MEA,Middle East and North Africa,LIC,Low income,IDX,IDA
ZMB,Zambia,SSF,Sub-Saharan Africa,LMC,Lower middle income,IDX,IDA
ZWE,Zimbabwe,SSF,Sub-Saharan Africa,LMC,Lower middle income,IDB,Blend
